"transcript_id"	"gene_id"
"MSTRG.127.7"	"MSTRG.127"
"MSTRG.127.9"	"MSTRG.127"
"MSTRG.127.10"	"MSTRG.127"
"MSTRG.127.11"	"MSTRG.127"
"MSTRG.126.10"	"MSTRG.126"
"MSTRG.126.11"	"MSTRG.126"
"MSTRG.126.14"	"MSTRG.126"
"MSTRG.126.13"	"MSTRG.126"
"MSTRG.126.12"	"MSTRG.126"
"MSTRG.126.15"	"MSTRG.126"
"MSTRG.127.12"	"MSTRG.127"
"MSTRG.126.16"	"MSTRG.126"
"MSTRG.126.17"	"MSTRG.126"
"MSTRG.126.18"	"MSTRG.126"
"MSTRG.126.19"	"MSTRG.126"
"MSTRG.126.20"	"MSTRG.126"
"MSTRG.126.21"	"MSTRG.126"
"MSTRG.126.22"	"MSTRG.126"
"MSTRG.126.23"	"MSTRG.126"
"Solyc00g500234.1.1"	"MSTRG.128"
"lnc_RNA:Solyc00r000200.1.1"	"MSTRG.129"
"MSTRG.127.13"	"MSTRG.127"
"MSTRG.130.1"	"MSTRG.130"
"MSTRG.131.1"	"MSTRG.131"
"Solyc00g500235.1.1"	"Solyc00g500235.1"
"Solyc00g500236.1.1"	"Solyc00g500236.1"
"MSTRG.132.1"	"MSTRG.132"
"Solyc00g500237.1.1"	"Solyc00g500237.1"
"MSTRG.133.1"	"MSTRG.133"
"Solyc00g230070.1.1"	"MSTRG.134"
"Solyc00g230060.1.1"	"Solyc00g230060.1"
"MSTRG.135.1"	"MSTRG.135"
"Solyc00g025300.1.1"	"Solyc00g025300.1"
"Solyc00g025290.1.1"	"MSTRG.136"
"Solyc00g500238.1.1"	"MSTRG.137"
"Solyc00g020040.1.1"	"MSTRG.138"
"Solyc00g020030.1.1"	"Solyc00g020030.1"
"Solyc00g020020.2.1"	"Solyc00g020020.2"
"Solyc00g020010.1.1"	"Solyc00g020010.1"
"Solyc00g020000.1.1"	"Solyc00g020000.1"
"Solyc00g019990.1.1"	"Solyc00g019990.1"
"Solyc00g019980.2.1"	"MSTRG.139"
"Solyc00g019970.2.1"	"MSTRG.140"
"Solyc00g019950.1.1"	"MSTRG.141"
"MSTRG.142.1"	"MSTRG.142"
"Solyc00g500239.1.1"	"Solyc00g500239.1"
"MSTRG.143.1"	"MSTRG.143"
"Solyc00g500240.1.1"	"Solyc00g500240.1"
"Solyc00g500241.1.1"	"Solyc00g500241.1"
"Solyc00g036530.1.1"	"Solyc00g036530.1"
"MSTRG.144.1"	"MSTRG.144"
"MSTRG.144.2"	"MSTRG.144"
"Solyc00g500242.1.1"	"MSTRG.144"
"Solyc00g500243.1.1"	"MSTRG.144"
"Solyc00g500244.1.1"	"MSTRG.144"
"Solyc00g500245.1.1"	"MSTRG.144"
"Solyc00g500246.1.1"	"Solyc00g500246.1"
"Solyc00g007450.1.1"	"Solyc00g007450.1"
"Solyc00g016590.1.1"	"Solyc00g016590.1"
"Solyc00g028960.1.1"	"MSTRG.145"
"Solyc00g500247.1.1"	"Solyc00g500247.1"
"Solyc00g500248.1.1"	"Solyc00g500248.1"
"Solyc00g500249.1.1"	"Solyc00g500249.1"
"Solyc00g500250.1.1"	"MSTRG.146"
"Solyc00g500251.1.1"	"MSTRG.147"
"Solyc00g500252.1.1"	"Solyc00g500252.1"
"Solyc00g500253.1.1"	"Solyc00g500253.1"
"Solyc00g021650.1.1"	"Solyc00g021650.1"
"Solyc00g021640.2.1"	"Solyc00g021640.2"
"Solyc00g021630.1.1"	"Solyc00g021630.1"
"Solyc00g500254.1.1"	"Solyc00g500254.1"
